last_name,first_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
Kershaw,Clayton,477132,90.7,4-Seamer,14.7,0.5
Cortes,Nestor,641482,86.9,Cutter,27.4,4.7
Gilbert,Logan,669302,86.9,Slider,31.6,6.1
Hill,Rich,448179,71.8,Curveball,67.7,17.8
Garcia,Luis,677651,85.3,Cutter,32.2,5.1
Voth,Austin,608723,93.5,4-Seamer,13.9,7.2
Hutchison,Drew,571800,92.4,4-Seamer,15.2,3.7
Ohtani,Shohei,660271,97.3,4-Seamer,14.5,3.4
Pérez,Martín,527048,89.8,Cutter,21.6,1.1
Minor,Mike,501985,90.4,4-Seamer,19.2,3.9
Estévez,Carlos,608032,97.5,4-Seamer,14.1,10
Peterson,David,656849,93.7,4-Seamer,17.5,9
Lyles,Jordan,543475,80,Slider,44.2,16.8
Alcantara,Sandy,645261,90,Slider,30.5,0.3
Flexen,Chris,623167,87.4,Cutter,28.4,6.6
Sandoval,Patrick,663776,86.3,Slider,35.6,6.6
Dunning,Dane,641540,78.7,Slider,48.6,7.5
Hill,Rich,448179,88.5,4-Seamer,16.4,8.2
Clevinger,Mike,605182,93.6,4-Seamer,14.2,8.7
Javier,Cristian,664299,79.8,Slider,40.2,15.1
Kennedy,Ian,453178,93.4,4-Seamer,14.1,10.4
Chavez,Jesse,445926,89.1,Cutter,21.5,1.9
Berríos,José,621244,93.9,Sinker,20.8,16.6
Giolito,Lucas,608337,81,Changeup,30.5,11.3
Mikolas,Miles,571945,93,Sinker,19.5,13.3
Suter,Brent,608718,86.4,4-Seamer,23.7,3.8
Fedde,Erick,607200,78.4,Curveball,46.9,14.7
Thompson,Zach,605507,86.8,Cutter,32.1,3.4
Whitlock,Garrett,676477,95.3,Sinker,17.2,15.3
Musgrove,Joe,605397,82.9,Slider,41.8,12.8
Walker,Taijuan,592836,88.8,Splitter,32.6,10.8
Márquez,Germán,608566,95.1,Sinker,21,14.3
EdwardsJr.,Carl,605218,94.6,4-Seamer,14.2,1.7
Wells,Tyler,669330,93.5,4-Seamer,11.5,5.8
Hicks,Jordan,663855,99.4,Sinker,19.7,15.8
Wisler,Matt,605538,79.8,Slider,43.7,8.1
Stripling,Ross,548389,91.9,4-Seamer,13.7,5.2
Musgrove,Joe,605397,92.9,4-Seamer,18.3,4.1
Coleman,Dylan,669395,97.5,4-Seamer,15.2,4.8
Colomé,Alex,517008,90.8,Cutter,26.5,1.8
Bickford,Phil,641360,94.1,4-Seamer,15.2,4.8
Kelly,Merrill,518876,88.6,Changeup,32.3,16.6
Kluber,Corey,446372,80.7,Curveball,41,16.5
Fedde,Erick,607200,89.2,Cutter,26.7,1.8
Eovaldi,Nathan,543135,95.7,4-Seamer,15.5,12.3
Díaz,Alexis,664747,95.7,4-Seamer,15.6,6.6
Anderson,Ian,666120,88.2,Changeup,25.3,10.4
Mikolas,Miles,571945,76,Curveball,63.3,8.7
Montas,Frankie,593423,96.1,4-Seamer,12.8,6.3
Baker,Bryan,641329,96.2,4-Seamer,11.8,2.4
Muñoz,Andrés,662253,88.6,Slider,29.7,4.3
Fulmer,Michael,605242,90.3,Slider,26.7,4.2
Freeland,Kyle,607536,90.3,4-Seamer,20,5.9
Okert,Steven,595345,82,Slider,35.9,10.2
Alexander,Jason,669920,92.4,Sinker,30.9,16.4
Pilkington,Konnor,663455,92.1,4-Seamer,16,9.4
Kluber,Corey,446372,88.9,Sinker,26.1,16.3
Hader,Josh,623352,97.4,Sinker,11.3,8.5
Hutchison,Drew,571800,86,Slider,37.2,4.5
Giolito,Lucas,608337,84.4,Slider,37.2,3.5
Kremer,Dean,665152,93.5,4-Seamer,14.9,8.9
Wright,Kyle,657140,94.4,Sinker,25.9,16.6
Gallen,Zac,668678,81.6,Curveball,53.5,6.7
Strider,Spencer,675911,86.3,Slider,35.6,5.2
Jansen,Kenley,445276,92.2,Cutter,15.8,8.4
Wacha,Michael,608379,93,4-Seamer,12.4,6.7
Akin,Keegan,669211,93.5,4-Seamer,13.6,10.7
Syndergaard,Noah,592789,93.6,Sinker,20.8,14.1
Gray,Josiah,680686,82.7,Curveball,45.4,2
Freeland,Kyle,607536,85.5,Slider,32.7,1.4
Ashby,Aaron,676879,95.7,Sinker,20.1,15.4
Archer,Chris,502042,93,4-Seamer,13.1,6.4
Smyly,Drew,592767,92.6,Sinker,14.8,8
Wheeler,Zack,554430,90.6,Slider,26.8,2.3
Ray,Robbie,592662,93.3,Sinker,18.8,15.4
Wick,Rowan,592858,94.9,4-Seamer,12.7,2.8
Steele,Justin,657006,82.1,Slider,43.3,14.1
Bubic,Kris,663460,80.7,Changeup,33.2,14.3
Márquez,Germán,608566,86.5,Curveball,38.3,1.1
McClanahan,Shane,663556,87.7,Changeup,25.4,16
Freeland,Kyle,607536,89.6,Sinker,27.5,13
Watkins,Spenser,657093,91.4,4-Seamer,16.2,1.2
McKenzie,Triston,663474,87.3,Slider,25.6,5.3
Rogers,Taylor,573124,80.9,Slider,40.4,14.1
