 first_name,last_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
 Blake,Snell,605483,86.5,Slider,35.5,4.3
 Heath,Hembree,592390,95.3,4-Seamer,12.5,9.5
 Spencer,Howard,675921,94.2,4-Seamer,13.8,7.5
 Tyler,Rogers,643511,82.7,4-Seamer,54.1,1.1
 Zack,Greinke,425844,86.4,Changeup,32.1,12.8
 Aroldis,Chapman,547973,98.3,4-Seamer,10.4,4.1
 Scott,Barlow,605130,85,Slider,38.9,7.7
 Cesar,Valdez,491624,77.9,Changeup,50.8,9.2
 Luis,Garcia,677651,86.1,Cutter,31.5,5.7
 Erick,Fedde,607200,79.7,Curveball,44.5,14.3
 Jordan,Montgomery,656756,92.4,Sinker,19.8,15.5
 Luke,Jackson,592426,87.5,Slider,41.2,1.4
 Daniel,Bard,453268,87.1,Slider,33.1,9.2
 Max,Fried,608331,84.7,Slider,38,8.9
 Joe,Musgrove,605397,90.7,Cutter,24.7,1.6
 Erick,Fedde,607200,89.4,Cutter,27.5,3.1
 Max,Scherzer,453286,85.9,Slider,32.4,2.9
 Taijuan,Walker,592836,93.7,Sinker,18.2,15.6
 Ervin,Santana,429722,84.4,Slider,36.5,4.4
 Nathan,Eovaldi,543135,78.5,Curveball,55,9.9
 Shane,Bieber,669456,92.8,4-Seamer,13.3,9.7
 Luis,Castillo,622491,86.4,Slider,36.8,0.5
 Kendall,Graveman,608665,96.6,Sinker,18.7,16.4
 Dean,Kremer,665152,92.6,4-Seamer,14.4,9.4
 Cole,Sulser,642121,93.2,4-Seamer,13.3,8.4
 Taijuan,Walker,592836,86.2,Slider,31,4.5
 Reynaldo,Lopez,625643,95.8,4-Seamer,12.9,7.9
 Blake,Taylor,642130,93.1,4-Seamer,15.8,2.9
 Pablo,Lopez,641154,88,Changeup,32.4,17.4
 Caleb,Thielbar,573204,91.3,4-Seamer,13.5,2.7
 Tyler,Duffey,608648,82.3,Curveball,50.9,5.3
 Zach,Plesac,668676,85.7,Changeup,26.6,12.3
 Darwinzon,Hernandez,650382,94.8,4-Seamer,17.2,4.8
 Jordan,Lyles,543475,80.3,Curveball,57.3,6.9
 Martin,Perez,527048,89.6,Cutter,22.9,0.6
 Casey,Mize,663554,93.2,Sinker,22.2,16.4
 Luis,Cessa,570666,82.7,Slider,42.9,3.3
 Domingo,German,593334,81.1,Curveball,45.3,1.4
 Michael,King,650633,93.9,Sinker,22.8,17.5
 Wil,Crowe,640444,85.3,Slider,37.6,6.5
 Steve,Cishek,518553,90.2,Sinker,28.8,17.5
 Matthew,Boyd,571510,92,4-Seamer,17.2,10.7
 Tanner,Scott,656945,88.5,Slider,36.5,5.7
 Adam,Ottavino,493603,80.6,Slider,42.9,19
 Pablo,Lopez,641154,94.1,4-Seamer,17.2,7
 Joe,Ross,605452,84.6,Slider,35.9,3.5
 Sonny,Gray,543243,92.3,4-Seamer,16.6,1.8
 Mike,Foltynewicz,592314,83.2,Slider,37.3,5.3
 Adbert,Alzolay,640470,93.8,Sinker,19,15
 Genesis,Cabrera,650893,97.6,4-Seamer,10.5,7.6
 Sam,Clay,621348,92.3,Sinker,25.4,15.7
 Giovanny,Gallegos,606149,85.6,Slider,37.1,0.3
 Miguel,Castro,612434,98,Sinker,21.7,18.1
 Dan,Winkler,595465,91.2,Cutter,20.3,0.6
 Sam,Hentges,656529,94.6,4-Seamer,15.6,6.3
 JT,Chargois,608638,87.6,Slider,32.1,0.3
 David,Bednar,670280,96.7,4-Seamer,12.7,8.9
 Dylan,Bundy,605164,90.7,4-Seamer,13.9,5.2
 Logan,Webb,657277,86.2,Changeup,41.6,8.9
 Walker,Buehler,621111,91.6,Cutter,24,6
 Mike,Minor,501985,85.2,Changeup,26.1,16.8
 Collin,McHugh,543521,79.5,Slider,44.4,18.7
 Jorge,Lopez,605347,81.9,Curveball,52,7.9
 Alek,Manoah,666201,81.1,Slider,41.8,15.5
 Sonny,Gray,543243,79.3,Curveball,57.8,14
